Word,Actual Synonym,Predicted Synonym,Correct/Incorrect/Guess
enormously,tremendously,permeability,incorrect
provisions,stipulations,smuggling,incorrect
haphazardly,randomly,N/A,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,ming,incorrect
flawed,imperfect,N/A,guess
urgently,desperately,begged,incorrect
consumed,eaten,consume,incorrect
advent,coming,restores,incorrect
concisely,succinctly,winch,incorrect
salutes,greetings,tents,incorrect
solitary,alone,lonely,incorrect
hasten,accelerate,accompany,incorrect
perseverance,endurance,indomitable,incorrect
fanciful,imaginative,paradoxes,incorrect
showed,demonstrated,displayed,incorrect
constantly,continually,continual,incorrect
issues,subjects,receives,incorrect
furnish,supply,afford,incorrect
costly,expensive,fabrics,incorrect
recognized,acknowledged,acknowledged,correct
spot,location,hut,incorrect
make,earn,making,incorrect
often,frequently,frequently,correct
easygoing,relaxed,N/A,guess
debate,argument,debates,incorrect
narrow,thin,winding,incorrect
arranged,planned,selected,incorrect
infinite,limitless,finite,incorrect
showy,striking,blossoms,incorrect
levied,imposed,dues,incorrect
deftly,skillfully,handbag,incorrect
distribute,circulate,electronic,incorrect
discrepancies,differences,leatham,incorrect
prolific,productive,voluminous,incorrect
unmatched,unequaled,defoe,incorrect
peculiarly,uniquely,highly,incorrect
hue,color,greenish,incorrect
hind,rear,legs,incorrect
highlight,accentuate,N/A,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,climates,incorrect
grin,smile,groan,incorrect
verbally,orally,paraphrasing,incorrect
physician,doctor,doctor,correct
essentially,basically,complex,incorrect
keen,sharp,temperament,incorrect
situated,positioned,nw,incorrect
principal,major,chief,incorrect
slowly,gradually,gently,incorrect
built,constructed,erected,incorrect
tasks,jobs,gressmann,incorrect
unlikely,improbable,improbable,correct
halfheartedly,apathetically,N/A,guess
annals,chronicles,histories,incorrect
wildly,furiously,exclamations,incorrect
hailed,acclaimed,greeted,incorrect
command,mastery,commander,incorrect
concocted,devised,censuring,incorrect
prospective,potential,nomination,incorrect
generally,broadly,usually,incorrect
sustained,prolonged,indomitable,incorrect
perilous,dangerous,fearful,incorrect
tranquillity,peacefulness,peace,incorrect
dissipate,disperse,keenest,incorrect
primarily,chiefly,primary,incorrect
colloquial,conversational,hindi,incorrect
resolved,settled,compelled,incorrect
feasible,possible,ventilation,incorrect
expeditiously,rapidly,amble,incorrect
percentage,proportion,quantity,incorrect
terminated,ended,ended,correct
uniform,alike,linear,incorrect
figure,solve,tall,incorrect
sufficient,enough,enable,incorrect
fashion,manner,dress,incorrect
marketed,sold,timber,incorrect
bigger,larger,eyebrows,incorrect
roots,origins,stems,incorrect
normally,ordinarily,occipital,incorrect
